Age,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Tutoring_Sessions_Per_Week,Exam_Anxiety_Score,Final_Score,Gender_Male,Gender_Non-Binary,Part_Time_Job_1,Study_Method_Offline,Study_Method_Online,Diet_Quality_Good,Diet_Quality_Poor,Internet_Quality_Excellent,Internet_Quality_Good,Internet_Quality_Poor,Extracurricular_Yes,Family_Income_Level_Low,Family_Income_Level_Middle
17,8.2,80.0,7.3,2.3,3.2,3.07,3,1.8,87.1,False,False,False,False,True,False,False,False,False,False,True,False,False
22,4.07,69.2,7.9,3.6,0.5,2.66,2,1.0,92.03,True,False,True,True,False,False,False,False,True,False,False,False,True
23,5.07,74.2,6.7,2.6,4.7,3.27,1,4.2,95.37,False,False,False,False,False,False,False,False,True,False,False,False,True
22,5.82,82.5,3.7,3.3,2.3,2.87,0,3.6,90.73,False,False,False,True,False,False,False,True,False,False,False,False,True
21,3.42,90.8,7.4,7.0,3.1,2.82,2,4.5,74.71,True,False,True,True,False,False,False,False,True,False,False,False,True
22,5.0,82.7,6.5,9.1,3.8,3.16,1,1.4,93.98,False,False,False,False,False,True,False,False,False,False,False,False,False
17,5.0,78.9,5.0,7.8,3.0,2.92,1,4.2,64.99,True,False,False,False,True,False,False,False,True,False,True,False,True
19,1.49,77.4,6.0,6.2,4.7,2.08,0,7.1,44.64,True,False,False,True,False,False,False,False,False,False,True,False,True
21,7.04,95.6,6.7,3.0,2.7,3.28,2,4.0,96.95,False,False,False,False,True,False,True,False,False,True,False,False,False
19,6.2,71.9,6.4,4.6,5.0,2.05,0,4.3,81.24,False,False,False,False,False,False,False,False,False,False,True,False,False
21,3.75,75.4,6.7,4.4,4.4,3.05,2,6.5,83.59,False,False,False,False,True,False,False,False,False,False,True,False,True
19,4.66,83.5,7.1,9.4,4.8,2.95,2,4.2,74.7,True,False,True,True,False,False,False,True,False,False,True,False,True
18,6.01,92.7,5.8,6.7,3.2,3.09,2,6.8,76.46,False,True,False,False,False,False,False,False,False,False,False,True,False
19,5.1,62.9,7.7,4.8,0.5,3.49,1,4.6,86.11,True,False,True,False,True,True,False,False,False,False,False,True,False
22,4.67,89.6,6.5,5.1,0.9,2.54,2,3.5,99.7,True,False,False,False,True,False,False,True,False,False,True,True,False
18,2.09,91.5,5.2,4.7,3.8,2.62,1,7.0,66.51,True,False,False,True,False,True,False,False,False,False,False,False,False
19,6.11,82.5,5.7,5.0,5.5,3.23,0,3.2,87.87,False,False,True,False,True,False,False,False,False,True,False,True,False
21,5.25,61.2,5.9,4.4,3.1,2.7,2,3.4,92.06,False,False,False,False,False,False,False,False,False,False,True,False,True
21,5.55,72.9,8.0,4.9,4.2,3.59,4,1.7,96.51,False,False,True,False,True,True,False,False,False,False,True,False,True
24,1.95,78.5,7.2,5.1,5.7,2.62,0,7.3,61.96,False,False,False,False,False,False,False,False,False,False,False,False,False
21,8.3,82.8,6.5,10.0,3.0,3.42,0,4.6,87.96,True,False,False,True,False,True,False,False,False,True,False,True,False
20,5.31,67.6,7.0,3.5,3.9,3.45,1,6.0,85.08,False,False,False,False,False,False,False,False,True,False,True,False,True
17,4.23,77.5,6.4,8.1,5.8,3.31,1,5.1,77.73,True,False,True,True,False,True,False,False,False,False,True,False,True
21,9.06,87.0,6.5,3.8,3.0,2.61,4,5.2,97.15,False,False,True,True,False,True,False,False,False,False,True,False,True
18,4.91,74.5,7.7,10.0,5.3,3.23,3,3.5,81.12,True,False,False,True,False,False,True,True,False,False,True,False,True
24,2.1,76.9,7.2,7.1,4.1,3.54,2,6.8,70.5,False,False,True,False,True,True,False,False,True,False,False,False,True
21,4.19,75.3,7.0,5.8,0.6,3.29,1,3.7,85.69,False,False,True,True,False,False,False,True,False,False,False,True,False
20,0.42,65.8,6.9,4.2,6.3,3.64,2,5.4,68.32,False,False,False,False,False,False,False,False,True,False,False,False,True
22,7.1,76.4,6.5,4.2,3.8,2.58,1,4.5,98.29,False,False,False,True,False,False,False,False,False,False,False,True,False
18,4.17,77.8,7.8,5.2,4.5,2.97,2,8.4,76.03,True,False,False,True,False,False,False,False,True,False,True,False,False
20,3.51,87.4,6.8,2.1,5.4,3.99,3,5.0,92.76,False,False,True,True,False,True,False,False,False,True,False,False,True
22,7.14,72.0,7.6,8.3,4.9,2.75,2,5.6,85.89,True,False,True,False,False,False,True,False,False,True,True,False,False
23,1.7,66.9,4.9,2.8,3.7,2.34,2,5.3,58.54,False,False,False,False,False,False,False,False,True,False,False,True,False
23,6.07,75.0,8.5,6.2,4.2,3.05,2,3.9,95.53,False,False,False,True,False,False,False,False,True,False,False,False,False
18,0.87,71.1,6.5,8.0,5.2,2.63,0,6.8,45.31,True,False,False,False,False,False,False,False,True,False,False,False,True
19,3.68,85.5,5.7,2.2,8.0,3.09,2,7.7,65.93,False,True,True,False,True,False,False,True,False,False,False,True,False
17,2.59,74.3,7.9,3.4,3.5,3.54,2,3.4,96.23,False,False,True,True,False,True,False,False,False,False,False,False,False
24,7.92,64.4,8.5,3.3,2.0,2.56,3,5.6,95.45,True,False,True,True,False,False,False,False,True,False,False,False,False
17,8.53,85.9,8.3,7.7,4.1,2.76,4,1.7,95.86,False,False,False,False,False,True,False,False,True,False,False,False,False
20,4.34,79.2,7.8,6.7,3.9,1.93,0,8.2,59.14,True,False,False,False,True,False,False,True,False,False,False,False,False
22,6.68,81.7,7.0,5.3,5.8,2.51,2,2.6,90.89,False,False,False,False,True,True,False,True,False,False,False,True,False
17,4.64,83.9,6.9,6.2,6.6,3.06,2,6.9,66.2,False,False,False,False,False,True,False,True,False,False,False,False,True
22,6.14,90.5,8.7,2.8,3.6,3.02,3,2.3,96.49,False,True,False,False,False,False,False,False,False,False,False,False,True
22,3.49,70.8,6.6,4.6,4.2,2.62,1,5.7,77.71,False,False,False,False,True,False,False,False,True,False,True,True,False
20,1.58,86.1,7.8,4.9,6.6,3.25,0,4.0,67.78,True,False,False,False,False,False,False,False,False,False,True,False,False
20,1.39,80.6,8.3,7.9,2.9,4.0,1,5.9,84.67,False,False,True,True,False,False,False,False,False,False,False,False,True
20,5.77,80.5,8.1,2.2,0.5,3.39,1,5.5,86.1,True,False,True,True,False,True,False,True,False,False,False,False,False
17,9.5,78.9,4.6,3.6,5.0,3.71,2,3.1,90.34,False,False,False,False,False,False,False,False,False,True,True,False,True
23,5.54,75.3,7.0,5.3,5.4,3.23,2,4.8,90.81,False,False,True,False,False,False,False,True,False,False,False,False,True
20,3.95,82.0,4.3,5.7,5.1,2.64,1,7.1,65.18,True,False,False,True,False,False,False,False,False,False,True,True,False
24,9.1,80.2,8.1,3.9,2.6,3.5,1,2.8,86.73,True,False,False,False,False,False,True,True,False,False,False,True,False
17,5.47,86.7,7.8,5.1,2.1,3.38,2,1.9,97.86,False,False,False,False,False,True,False,False,False,False,True,False,False
20,5.2,94.7,6.5,4.5,5.1,2.28,0,2.2,92.57,False,False,False,True,False,False,False,False,False,False,False,False,False
21,5.51,70.1,5.4,4.7,3.2,2.76,2,2.0,92.58,True,False,False,True,False,False,False,False,False,False,False,False,True
22,4.74,99.3,6.2,3.7,2.3,3.11,3,2.1,94.74,True,False,False,True,False,True,False,False,True,False,True,False,False
24,4.38,90.7,5.8,5.1,3.8,3.29,0,6.4,74.14,True,False,True,False,True,False,True,False,False,False,True,False,True
20,2.13,68.5,7.5,4.9,3.2,1.95,1,6.7,61.87,False,False,False,False,False,False,False,False,True,False,False,False,False
18,6.0,78.6,6.9,5.4,3.3,3.37,2,1.2,94.29,True,False,False,False,False,False,True,False,False,True,False,True,False
